Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drive_base,"0,00874563254959665","-0,00236660328150901","-0,0490854383415856",0,0,0,"1,44946621413433","0,000848127350529093","-3,43805868688839E-10","-2,58382326226388E-06","0,00223379652936475","-1,68220537133253E-07","0,00205727407895167",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/drive_base.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/drive_base.STL,,korpus_BOK_L_1-1;korpus_BOK_L_2-1;korpus_BOK_L_3-1;korpus_BOK_R_1-1;korpus_BOK_R_2-1;korpus_BOK_R_3-1;Obudowa serwa-1;serwo-1;Zawieszenie_wahacz-1;Zawieszenie_wahacz-2;pokrywa_serwa-2;Zawieszenie_wahacz-3;Zawieszenie_wahacz-4;Obudowa serwa-2;serwo-2;pokrywa_serwa-1;Zawieszenie_wahacz-5;Zawieszenie_wahacz-6;Obudowa serwa-3;serwo-3;pokrywa_serwa-3;Zawieszenie_wahacz-7;Zawieszenie_wahacz-8;Obudowa serwa-4;serwo-6;pokrywa_serwa-6;Zawieszenie_wahacz-9;Zawieszenie_wahacz-10;Obudowa serwa-5;serwo-4;pokrywa_serwa-5;Zawieszenie_wahacz-11;Zawieszenie_wahacz-12;Obudowa serwa-6;pokrywa_serwa-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_turn_link,"-0,0202008319337566","-0,000537923907060631","0,108888065561637",0,0,0,"0,0791651660643748","8,14759788204637E-05","-1,4633291055377E-06","4,3701071628893E-05","0,000136389884985275","1,16370713166833E-06","7,36288671954574E-05",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_left_turn_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_left_turn_link.STL,,Wahacz_mocowanie_silnika_25D-1;Palag_silnika_25D-1,front_left_turn,front_left_turn_a,front_left_turn,revolute,"0,174999999976252","0,166487345210005","-0,0205134953134593","3,14159265358973",0,"1,5707963267949",drive_base,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
front_left_wheel_link,"-0,000455402131096294","0,000455401371828285","0,0312563718756475",0,0,0,"0,60129819266432","0,000951600981300395","2,75877628912191E-08","6,32205201106246E-12","0,000951600976671848","1,04425032891631E-11","0,00155374038149821",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_left_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_left_wheel_link.STL,,Koło_felga_25D-4;Koło_opona_3D-4,Origin_front_left_wheel,front_left_wheel_a,front_left_wheel,continuous,"-0,0299893692365746","-0,000798580917134806","0,138500000000019","-1,5707963267947","-0,160752584870144","-1,54417381740566",front_left_turn_link,0,0,-1,,,,,,,,,,,,
front_right_turn_link,"0,0201980896108885","-0,000632573365492203","0,10888806556058",0,0,0,"0,0791651660643748","8,14909084765224E-05","1,72091256971028E-06","-4,36951390792019E-05","0,000136385812542526","1,3684650711227E-06","7,3618009982148E-05",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_right_turn_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_right_turn_link.STL,,Palag_silnika_25D-5;Wahacz_mocowanie_silnika_25D-5,front_right_turn,front_right_turn_a,front_right_turn,revolute,"0,175000000022759","-0,178829853919777","-0,0200480862545637","3,14159265358964",0,"1,5707963267949",drive_base,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
front_right_wheel_link,"0,000199018339452378","0,000612514003356546","0,0312563685802602",0,0,0,"0,601298194339803","0,000951623304607226","-1,62137429309689E-08","1,04244034516537E-11","0,000951578659069523","-5,15458315408172E-12","0,00155374038618906",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_right_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/front_right_wheel_link.STL,,Koło_felga_25D-2;Koło_opona_3D-2,Origin_front_right_wheel,front_right_wheel_a,front_right_wheel,continuous,"0,0299852980910073","-0,000939093798454305","0,138500000000011","-1,57079632679492","1,00237235232291","1,53948808645332",front_right_turn_link,0,0,-1,,,,,,,,,,,,
mid_left_turn_link,"-0,0202067360647799","-0,000225367594505477","0,108888065559684",0,0,0,"0,0791651660643748","8,14438517875642E-05","-6,13252847421405E-07","4,37138442152049E-05","0,000136422012018174","4,87544593739856E-07","7,36288671954575E-05",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_left_turn_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_left_turn_link.STL,,Palag_silnika_25D-2;Wahacz_mocowanie_silnika_25D-2,mid_left_turn,mid_left_turn_a,mid_left_turn,revolute,"0,00999999997632967","0,166445170850159","-0,0207342759100906","-3,14159265358978",0,"1,5707963267949",drive_base,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
mid_left_wheel_link,"-0,000199018193523415","0,000612513923196736","0,0312563718801634",0,0,0,"0,601298189593992","0,000951623298197635","1,62158244190196E-08","9,64173895210514E-12","0,000951578651208246","6,41678092749352E-12","0,00155374037277378",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_left_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_left_wheel_link.STL,,Koło_felga_25D-6;Koło_opona_3D-6,Origin_mid_left_wheel,mid_left_wheel_a,mid_left_wheel,continuous,"-0,0299981342803504","-0,000334571974733133","0,138499999999992","-1,57079632679484",0,"-1,5596436956655",mid_left_turn_link,0,0,-1,,,,,,,,,,,,
mid_right_turn_link,"0,0202054933275991","-0,000317824430780766","0,108888065561104",0,0,0,"0,0791651660643748","8,14506148607155E-05","8,64785889730204E-07","-4,37111557636445E-05","0,000136415248945023","6,87559167265988E-07","7,36288671954574E-05",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_right_turn_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_right_turn_link.STL,,Palag_silnika_25D-4;Wahacz_mocowanie_silnika_25D-4,mid_right_turn,mid_right_turn_a,mid_right_turn,revolute,"0,0100000000230957","-0,178931335517903","-0,0194653864671764","3,14159265358964",0,"1,5707963267949",drive_base,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
mid_right_wheel_link,"0,000100749668739047","0,000636106131368608","0,0312563686421631",0,0,0,"0,601298190237914","0,000951627216739043","-8,52421417099728E-09","1,1094018498256E-11","0,000951574734605343","-4,57742884852605E-12","0,00155374037481326",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_right_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/mid_right_wheel_link.STL,,Koło_felga_25D-1;Koło_opona_3D-1,Origin_mid_right_wheel,mid_right_wheel_a,mid_right_wheel,continuous,"0,0299962893606927","-0,000471829774504273","0,138500000000007","-1,57079632679496","1,48302497084392","1,55506801995247",mid_right_turn_link,0,0,-1,,,,,,,,,,,,
rear_left_turn_link,"-0,0202051907412302","0,000336511665076922","0,108888065562788",0,0,0,"0,0791651660643748","8,14522614973296E-05","9,15619300051283E-07","4,37105011689119E-05","0,000136413602308409","-7,27985827222633E-07","7,36288671954575E-05",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_left_turn_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_left_turn_link.STL,,Palag_silnika_25D-3;Wahacz_mocowanie_silnika_25D-6,rear_left_turn,rear_left_turn_a,rear_left_turn,revolute,"-0,155000000023439","0,166865369910765","-0,0182489865369013","-3,14159265358978",0,"1,5707963267949",drive_base,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
rear_left_wheel_link,"-0,000100749969724923","0,000636106358418861","0,0312563719226248",0,0,0,"0,601298196689103","0,000951627224353808","8,52510039254024E-09","1,12859946929856E-11","0,000951574745715636","3,2311138200684E-12","0,00155374039262574",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_left_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_left_wheel_link.STL,,Koło_felga_25D-5;Koło_opona_3D-5,Origin_rear_left_wheel,rear_left_wheel_a,rear_left_wheel,continuous,"-0,0299958401524058","0,00049957211555629","0,138500000000013","-1,57079632679483",0,"-1,5874494995914",rear_left_turn_link,0,0,-1,,,,,,,,,,,,
rear_right_turn_link,"0,0202065674134458","0,00024001318633643","0,108888065561637",0,0,0,"0,0791651660643748","8,14447696282363E-05","-6,53099842711284E-07","-4,37134793655911E-05","0,000136421094177492","-5,19227846136187E-07","7,36288671954679E-05",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_right_turn_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_right_turn_link.STL,,Palag_silnika_25D-6;Wahacz_mocowanie_silnika_25D-3,rear_right_turn,rear_right_turn_a,rear_right_turn,revolute,"-0,154999999976742","-0,177723968827907","-0,0249018780713352","3,14159265358964",0,"1,5707963267949",drive_base,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
rear_right_wheel_link,"4,42568634517748E-10","0,000644035501771834","0,0312563685822128",0,0,0,"0,601298194105251","0,000951628571372633","4,1625716138945E-12","1,12725616255066E-11","0,000951573391586144","-1,93288819601593E-12","0,00155374038542954",0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_right_wheel_link.STL,"0,564705882352941","0,564705882352941","0,564705882352941",1,0,0,0,0,0,0,package://argo_mini_urdf_6w_drive/meshes/rear_right_wheel_link.STL,,Koło_felga_25D-3;Koło_opona_3D-3,Origin_rear_right_wheel,rear_right_wheel_a,rear_right_wheel,continuous,"0,0299978839064289","0,000356314250609557","0,13850000000001","1,57079632678987","-1,54577220906003","-1,55891890506383",rear_right_turn_link,0,0,-1,,,,,,,,,,,,
